Review ID,Review,Overall sentiment (Annotator),Explicit Aspect,Implicit Aspect phrase,Category,Explicit Opinion ,Implicit Opinion  phrase,Sentiment towards aspect
9,"Toilets are very small and no enough socket to charge mobile. 
No telecom or wifi signals available in the Hotel rooms.",Negative,telecom,-,Amenities ,null,no available in the Hotel rooms,Negative
9,"Toilets are very small and no enough socket to charge mobile. 
No telecom or wifi signals available in the Hotel rooms.",Negative,Toilets,-,Amenities ,null,no enough,Negative
9,"Toilets are very small and no enough socket to charge mobile. 
No telecom or wifi signals available in the Hotel rooms.",Negative,wifi ,-,Amenities ,null,no available in the Hotel rooms,Negative
9,"Toilets are very small and no enough socket to charge mobile. 
No telecom or wifi signals available in the Hotel rooms.",Negative,Toilets ,-,Amenities ,small,-,Negative
10,"“it was an amazing experience. I strongly recommend the hotel for everyone who would like to experience calmness, hospita”",Positive,experience,-,General,amazing,-,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,parking,-,Amenities ,ample,-,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,pool,-,Amenities ,big,-,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,room,-,Room,clean and perfect,,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,bathroom,-,Amenities ,clean and tidy,-,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,staff,-,Human Resources ,excellent ,,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,grounds,-,Amenities ,huge,,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,everything,-,General,loved,,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,null,she,Human Resources ,null,gem,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,property,-,General,null,old but very well maintained and clean,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,null,location,Location,null,city center is only a few kms away,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,gardens,-,Amenities ,picturesque,,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,menu,-,Food and beverage,quite reasonable,,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,staff,-,Human Resources ,very courteous and hospitable,,Positive
11,"We loved everything about our stay. It was our first trip to Yanbu and Radisson blu made it all the more special. The reception staff were excellent. Special mention to Ms. Anssam. She is a gem. She adjusted our check out time and was so accommodating about it. Helped us a lot, especially since we have little kids. These small gestures made a lot of difference, as we felt so welcome and special. 
All the other staff at the hotel were also, very courteous and hospitable. 
The rooms were clean and just perfect. Bathroom was clean and tidy. It is quite an old property but very well maintained and clean. 
Special highlight was the wonderful pool. My kids loved every moment in it. There is separate timing for men and women. Hence, there was good privacy. The pool was quite big so both adults and kids could enjoy it. It is an open air pool. It has all the facilities attached to it like bathrooms and changing/shower rooms. There is also an attached gym. 
The restaurant menu is quite reasonable. 
The grounds around the hotel is huge. Families can sit and have coffee while the kids can play at the small play area. Lush green gardens give it a picturesque look. 
We stayed during the national day weekend, so there was this fun celebration and cake cutting at the hotel lobby with music and hors d'oeuvres for all the guests and staff at the hotel. 
The city center is only a few kms away. The boating marina is just a 15 min drive from the hotel. Not to mention ample parking space at the hotel grounds which made everything so convenient. 
We will definitely stay at Radisson Blu on our next visit to Yanbu. Loved it!",Positive,pool,-,Amenities ,wonderful,,Positive
12,“Overall it seems to be the best hotel I’ve ever stayed in Saudi Arabia. Stuff was helpful and professional”,Positive,hotel,-,General,best,-,Positive
12,“Overall it seems to be the best hotel I’ve ever stayed in Saudi Arabia. Stuff was helpful and professional”,Positive,staff,-,Human Resources ,helpful and professional,-,Positive
13,The hotel charged me 50riyals extra when I reached at morning 3am.,Negative,hotel,-,Value,-,charged extra,Negative
14,“They have mentioned in booking that I can stay until 6 pm but the reception forced to leave at 3 pm otherwise they will”,Negative,null,check out,Front office,-,forced to leave,Negative
15,No English speaking receptionists. Cleaners/Bell Boy are the interpreters.,Negative,receptionists,-,Human Resources ,null,No English speaking,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,null,it ,Housekeeping,bad smell ,-,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,toilet mirror,--,Amenities ,broken and dirty,-,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,curtains,-,Amenities ,falling ,-,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,bed ,-,Amenities ,hard and uncomfortable,-,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,toilet ,-,Amenities ,leaking,-,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,cleanliness,-,Housekeeping,null,trouble,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,null,curtains,Amenities ,null, no ,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,reception,-,Human Resources ,rued and impolite,-,Negative
16,"The person at the reception.
He was so rude and impolite.
He asked me to go the gas station and get cash to pay for my stay which was only for 6 hours due to i had connecetion flight.
He and his boss claimed that the machine was not working.
They did that with every one and think becaus they wanted to avoid paying tax.
The toilet mirror was broken and dirty, the toilet was leaking , the shower had no curtains, bed was hard and uncomfortable. It also had bad smell and full of cigarettes.
This was the worest hotel i ever been to and I don't recommend it at all not even to an animal.
Room curtains were falling down.
Room cleanliness was trouble.",Negative,hotel,-,General,worst,-,Negative
17,Room was clean and beds were quite comfortable. Breakfast was also good. Best thing was that the parking was free. Location also close to Haram. Checkin/ Reception staff was really helpful.,Positive,room,-,Room,clean,-,Positive
17,Room was clean and beds were quite comfortable. Breakfast was also good. Best thing was that the parking was free. Location also close to Haram. Checkin/ Reception staff was really helpful.,Positive,beds,-,Amenities ,comfortable,-,Positive
17,Room was clean and beds were quite comfortable. Breakfast was also good. Best thing was that the parking was free. Location also close to Haram. Checkin/ Reception staff was really helpful.,Positive,parking,-,Amenities ,free,-,Positive
17,Room was clean and beds were quite comfortable. Breakfast was also good. Best thing was that the parking was free. Location also close to Haram. Checkin/ Reception staff was really helpful.,Positive,Breakfast,-,Food and beverage,good,-,Positive
17,Room was clean and beds were quite comfortable. Breakfast was also good. Best thing was that the parking was free. Location also close to Haram. Checkin/ Reception staff was really helpful.,Positive,Checkin/ Reception staff,-,Human Resources ,helpful,-,Positive
17,Room was clean and beds were quite comfortable. Breakfast was also good. Best thing was that the parking was free. Location also close to Haram. Checkin/ Reception staff was really helpful.,Positive,location,-,Location,null,close to haram,Positive
18,“it was good as it was near to haram but staff and cleanliness needs to improve”,Nuetral ,null,it ,General,good,-,Positive
18,“it was good as it was near to haram but staff and cleanliness needs to improve”,Nuetral ,null,it ,Location,null,close to haram,Positive
18,“it was good as it was near to haram but staff and cleanliness needs to improve”,Nuetral ,cleanliness,-,Housekeeping,null,needs to improve,Negative
